symbol,name,date,SEM,Print,Social,Email,All
CPL,no,11/4/2015,18.31,41.24,30.71,16.99,28.27
CPL,no,11/11/2015,18.27,41.23,30.68,17.55,27.6
CPL,no,11/18/2015,18.24,41.94,30.31,17.46,27.17
CPL,no,11/25/2015,18.27,40.72,30,17.92,28.28
CPL,no,12/2/2015,18.13,40.2,28.84,17.53,28.04
CPL,no,12/9/2015,18.14,40.66,29.1,16.99,28.16
CPL,no,12/16/2015,18.04,40.85,29.09,16.75,27.47
CPL,no,12/23/2015,18.12,39.65,29.02,18.6,27.39
CPL,no,12/30/2015,18.32,39.87,28.89,18.22,27.57
CPL,no,01/06/2016,19.24,39.82,27.66,19.1,27.86
CPL,no,01/13/2016,19.34,38.48,27.92,18.99,27.71
CPL,no,01/20/2016,19.67,38.5,28.14,17.43,27.64
CPL,no,01/27/2016,18.75,38.79,28.12,17.66,27.75
CPL,no,02/04/2016,18.47,38.5,27.81,19.23,27.6
CPL,no,02/11/2016,18.12,38.28,27.57,19.14,27.59
CPL,no,02/18/2016,18.23,38.08,27.57,17.84,27.19
CPL,no,02/25/2016,18.31,38.34,27.75,17.67,26.57
CPL,no,03/02/2016,18.27,38.24,27.84,18.32,26.34
CPL,no,03/09/2016,18.32,38.4,27.7,18.18,27.39
CPL,no,03/16/2016,18.24,38.06,27.58,18.09,27.43
CPL,no,03/23/2016,18.19,38.37,28.02,17.61,27.55
CPL,no,03/30/2016,18.1,38.65,28.36,17.55,27.42
CPL,no,04/06/2016,18.2,39.03,28.51,17.43,27.23
CPL,no,04/13/2016,18.25,38.92,28.69,18.31,28.13
CPL,no,04/20/2016,18.47,38.94,28.65,18.22,28
CPL,no,04/27/2016,18.12,38.83,28.09,17,27.26
CPL,no,05/04/2016,18.23,38.79,28.38,18.22,27.71
CPL,no,05/11/2016,18.32,38.65,28.02,18.11,27.92
CPL,no,05/18/2016,18.24,38.85,28.51,18.45,27.93
CPL,no,05/25/2016,18.19,39.05,28.53,18.32,27.83
CPL,no,06/02/2016,18.07,39.3,28.24,19.31,28.09
CPL,no,06/09/2016,18.01,38.61,28.35,19.2,27.87
CPL,no,06/16/2016,18.47,38.65,28.27,18.45,27.99
CPL,no,06/23/2016,18.12,38.68,28.42,18.34,27.64
CPL,no,06/30/2016,18.23,38.93,28.5,18.22,27.45
CPL,no,07/06/2016,21.34,42,30.98,19.54,27.69
CPL,no,07/13/2016,19.87,39.87,30.5,19.87,28.01
CPL,no,07/20/2016,19.67,38.71,29.8,20.89,27.68
CPL,no,07/27/2016,19.88,39.45,29.04,20.85,28.08
CPL,no,08/04/2016,19.76,38.4,29.01,19.02,27.8
CPL,no,08/11/2016,18.48,38.95,29.2,16.45,26.32
CPL,no,08/18/2016,18.57,37.6,29.4,16.32,25.93
CPL,no,08/25/2016,18.98,42,29.5,15.35,26.71
CPL,no,09/02/2016,19.23,43.2,29.35,19.23,28.64
CPL,no,09/07/2016,19.1,44.5,29.39,19.65,29.73
CPL,no,09/14/2016,19.32,42.6,29.41,18.78,29.15
CPL,no,09/16/2016,18.47,38.65,28.27,18.45,29.78
CPL,no,09/21/2016,19.4,43.2,30.45,18.43,29.78
CPL,no,09/28/2016,18.98,42.13,30.45,18.76,29.05
CPL,yes,10/05/2016,22,46,32,22,30
